date,subways_total_estimated_ridership,division,train_line,wday_wnd,incident_type,incident_count
2020-03-01,2212965,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,A DIVISION,2,1,Signals,1
2020-03-01,2212965,A DIVISION,4,1,Track,1
2020-03-01,2212965,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,B DIVISION,E,1,Track,1
2020-03-01,2212965,B DIVISION,F,1,Signals,1
2020-03-01,2212965,B DIVISION,JZ,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,B DIVISION,L,1,Other,2
2020-03-01,2212965,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,B DIVISION,L,1,Track,1
2020-03-01,2212965,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2020-03-01,2212965,B DIVISION,M,1,Track,1
2020-03-01,2212965,B DIVISION,N,1,Subway Car,1
2020-03-01,2212965,B DIVISION,N,1,Track,1
2020-03-01,2212965,B DIVISION,Q,1,Other,2
2020-03-01,2212965,B DIVISION,Q,1,Signals,1
2020-03-01,2212965,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2020-04-01,513481,A DIVISION,2,2,Signals,1
2020-04-01,513481,A DIVISION,6,1,Other,1
2020-04-01,513481,A DIVISION,6,2,Other,1
2020-04-01,513481,A DIVISION,7,1,Other,3
2020-04-01,513481,A DIVISION,7,2,Other,1
2020-04-01,513481,B DIVISION,D,2,Other,2
2020-04-01,513481,B DIVISION,F,1,Other,1
2020-04-01,513481,B DIVISION,G,1,Other,3
2020-04-01,513481,B DIVISION,G,2,Other,1
2020-04-01,513481,B DIVISION,JZ,2,Other,2
2020-04-01,513481,B DIVISION,M,1,Persons on Trackbed/Police/Medical,1
2020-04-01,513481,B DIVISION,M,2,Other,1
2020-04-01,513481,B DIVISION,N,1,Other,1
2020-04-01,513481,B DIVISION,R,1,Other,1
2020-05-01,494549,A DIVISION,2,1,Persons on Trackbed/Police/Medical,3
2020-05-01,494549,A DIVISION,2,1,Signals,1
2020-05-01,494549,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2020-05-01,494549,B DIVISION,L,2,Persons on Trackbed/Police/Medical,1
2020-05-01,494549,B DIVISION,R,2,Persons on Trackbed/Police/Medical,1
2020-06-01,687162,A DIVISION,3,1,Signals,1
2020-06-01,687162,A DIVISION,4,1,Signals,1
2020-06-01,687162,A DIVISION,4,1,Subway Car,1
2020-06-01,687162,A DIVISION,4,1,Track,1
2020-06-01,687162,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2020-06-01,687162,A DIVISION,7,1,Stations and Structure,1
2020-06-01,687162,B DIVISION,A,1,Signals,1
2020-06-01,687162,B DIVISION,A,1,Subway Car,1
2020-06-01,687162,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2020-06-01,687162,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2020-06-01,687162,B DIVISION,G,1,Signals,1
2020-06-01,687162,B DIVISION,N,1,Signals,1
2020-06-01,687162,B DIVISION,N,1,Stations and Structure,1
2020-06-01,687162,B DIVISION,N,1,Subway Car,2
2020-06-01,687162,B DIVISION,N,1,Track,1
2020-06-01,687162,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2020-06-01,687162,B DIVISION,R,1,Subway Car,1
2020-07-01,1120537,A DIVISION,1,1,Other,1
2020-07-01,1120537,A DIVISION,1,1,Signals,1
2020-07-01,1120537,A DIVISION,1,1,Stations and Structure,1
2020-07-01,1120537,A DIVISION,2,1,Subway Car,1
2020-07-01,1120537,A DIVISION,2,2,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,A DIVISION,3,1,Persons on Trackbed/Police/Medical,2
2020-07-01,1120537,A DIVISION,3,2,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,A DIVISION,4,1,Subway Car,1
2020-07-01,1120537,A DIVISION,4,2,Track,1
2020-07-01,1120537,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,A DIVISION,5,1,Subway Car,1
2020-07-01,1120537,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,A DIVISION,6,1,Signals,2
2020-07-01,1120537,A DIVISION,6,1,Track,1
2020-07-01,1120537,A DIVISION,7,1,Subway Car,1
2020-07-01,1120537,B DIVISION,A,1,Signals,1
2020-07-01,1120537,B DIVISION,B,1,Signals,1
2020-07-01,1120537,B DIVISION,C,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,C,2,Signals,1
2020-07-01,1120537,B DIVISION,D,1,Track,1
2020-07-01,1120537,B DIVISION,D,2,Signals,1
2020-07-01,1120537,B DIVISION,E,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,E,1,Signals,2
2020-07-01,1120537,B DIVISION,E,1,Track,2
2020-07-01,1120537,B DIVISION,F,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,L,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,L,1,Signals,1
2020-07-01,1120537,B DIVISION,L,2,Signals,1
2020-07-01,1120537,B DIVISION,N,1,Persons on Trackbed/Police/Medical,2
2020-07-01,1120537,B DIVISION,N,1,Signals,1
2020-07-01,1120537,B DIVISION,N,1,Track,3
2020-07-01,1120537,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,R,1,Persons on Trackbed/Police/Medical,1
2020-07-01,1120537,B DIVISION,R,1,Signals,1
2020-08-01,842468,A DIVISION,2,1,Persons on Trackbed/Police/Medical,2
2020-08-01,842468,A DIVISION,2,1,Signals,2
2020-08-01,842468,A DIVISION,2,1,Subway Car,1
2020-08-01,842468,A DIVISION,3,1,Other,1
2020-08-01,842468,A DIVISION,3,1,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,A DIVISION,3,1,Subway Car,1
2020-08-01,842468,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,A DIVISION,5,1,Other,1
2020-08-01,842468,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,A DIVISION,5,1,Signals,2
2020-08-01,842468,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,A DIVISION,7,1,Signals,2
2020-08-01,842468,A DIVISION,7,1,Stations and Structure,1
2020-08-01,842468,A DIVISION,7,1,Subway Car,1
2020-08-01,842468,B DIVISION,A,1,Persons on Trackbed/Police/Medical,2
2020-08-01,842468,B DIVISION,A,1,Signals,1
2020-08-01,842468,B DIVISION,A,2,Signals,1
2020-08-01,842468,B DIVISION,D,1,Other,1
2020-08-01,842468,B DIVISION,D,1,Persons on Trackbed/Police/Medical,1
2020-08-01,842468,B DIVISION,E,2,Other,1
2020-08-01,842468,B DIVISION,G,1,Other,1
2020-08-01,842468,B DIVISION,L,1,Other,1
2020-08-01,842468,B DIVISION,Q,1,Signals,1
2020-09-01,1469274,A DIVISION,1,2,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,A DIVISION,2,1,Signals,1
2020-09-01,1469274,A DIVISION,2,1,Subway Car,1
2020-09-01,1469274,A DIVISION,3,1,Stations and Structure,1
2020-09-01,1469274,A DIVISION,3,1,Track,1
2020-09-01,1469274,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,A DIVISION,4,1,Track,1
2020-09-01,1469274,A DIVISION,4,2,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,A DIVISION,5,1,Signals,1
2020-09-01,1469274,A DIVISION,6,1,Signals,1
2020-09-01,1469274,A DIVISION,7,1,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,A DIVISION,7,1,Signals,1
2020-09-01,1469274,B DIVISION,A,2,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,B DIVISION,A,2,Track,1
2020-09-01,1469274,B DIVISION,C,1,Persons on Trackbed/Police/Medical,2
2020-09-01,1469274,B DIVISION,G,2,Signals,1
2020-09-01,1469274,B DIVISION,L,1,Signals,1
2020-09-01,1469274,B DIVISION,N,1,Signals,1
2020-09-01,1469274,B DIVISION,N,1,Track,1
2020-09-01,1469274,B DIVISION,Q,1,Persons on Trackbed/Police/Medical,1
2020-09-01,1469274,B DIVISION,R,2,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,1,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,2,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,2,1,Signals,1
2020-10-01,1809958,A DIVISION,2,1,Subway Car,1
2020-10-01,1809958,A DIVISION,4,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,4,1,Signals,1
2020-10-01,1809958,A DIVISION,5,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,6,1,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,A DIVISION,6,1,Track,1
2020-10-01,1809958,A DIVISION,6,2,Persons on Trackbed/Police/Medical,1
2020-10-01,1809958,B DIVISION,A,1,Signals,1
2020-10-01,1809958,B DIVISION,A,2,Signals,1
